Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
12.32009,8.31226,6.107546,3.6556,7.263664E-05,-2.400976,-4.002468E-07
12.42009,8.403895,6.015455,3.458659,6.839649E-05,-3.035792,-1.526731E-06
12.5201,8.502877,5.916215,3.248849,-0.2673613,-3.647119,-0.0004518422
12.6201,8.608675,5.810141,3.02938,-0.5772526,-4.232392,0.01166052
12.7201,8.72069,5.697552,2.803254,-0.9280472,-4.78935,0.03980068
12.8201,8.838333,5.57878,2.573183,-1.3139,-5.316063,0.08396687
12.92011,8.961009,5.454173,2.341561,-1.728847,-5.810964,0.1438964
13.02011,9.088123,5.324092,2.11048,-2.167223,-6.272819,0.2193805
13.12011,9.219088,5.188922,1.881729,-2.623712,-6.700729,0.310283
13.22011,9.353312,5.049062,1.656836,-3.093342,-7.094079,0.4165294
13.32012,9.490217,4.904939,1.437055,-3.57148,-7.452534,0.5380914
13.42012,9.629225,4.756994,1.223395,-4.053828,-7.776014,0.6749719
13.52012,9.769771,4.605695,1.016661,-4.53642,-8.064653,0.8271895
13.62012,9.911297,4.451526,0.8174539,-5.015611,-8.318788,0.9947637
13.72012,10.05326,4.294992,0.6262177,-5.488068,-8.538915,1.177702
13.82013,10.19512,4.136617,0.4432397,-5.950769,-8.725692,1.375985
13.92013,10.3366,3.976542,0.4886562,-6.400677,-8.760069,1.589161
14.02013,10.47771,3.814899,1.801496,-6.830289,-7.124002,1.818817
14.12013,10.60139,3.671712,2.832975,-7.244032,-4.553701,2.083437
14.22014,10.69097,3.565734,3.363827,-7.650309,-1.723242,2.392931
14.32014,10.73568,3.509457,2.425337,-8.057022,0.08384413,2.746641
14.42014,10.74111,3.494469,1.104975,-8.463518,0.4242648,3.124565
14.52014,10.72587,3.500679,0.317777,-8.8518,0.3677846,3.515768
14.62014,10.70164,3.515996,-0.03312948,-9.207709,0.2585617,3.916836
14.72015,10.67395,3.534762,-0.1490652,-9.523028,0.1723047,4.326031
14.82015,10.64502,3.554733,-0.1633377,-9.793589,0.1077286,4.741844
14.92015,10.61562,3.57511,-0.1414226,-10.01741,0.05130775,5.162709
15.02015,10.58607,3.595591,-0.1098273,-10.19363,-0.006725915,5.587013
15.12016,10.55653,3.615997,-0.07741982,-10.322,-0.07128403,6.013155
15.22016,10.52717,3.636146,-0.04645799,-10.40264,-0.1442747,6.439595
15.32016,10.49818,3.655833,-0.01722666,-10.43596,-0.2261667,6.864869
15.42016,10.46979,3.67483,0.01034308,-10.42266,-0.3168469,7.287608
15.52017,10.44224,3.692891,0.03624844,-10.36368,-0.4160019,7.706537
15.62017,10.41577,3.70976,0.06037086,-10.26018,-0.5232596,8.120471
15.72017,10.39065,3.725171,0.08251791,-10.11353,-0.6382297,8.528317
15.82017,10.36712,3.738859,0.1024549,-9.925378,-0.760517,8.929083
15.92017,10.34546,3.750555,0.1199375,-9.697528,-0.889713,9.321848
16.02018,10.32593,3.759991,0.1347139,-9.431999,-1.025406,9.705792
